country,iso_code,co2,co2_per_capita,population
Montenegro,MNE,2.495,4.060,614649
Montserrat,MSR,0.026,5.730,4476
Morocco,MAR,69.779,1.869,37329068
Mozambique,MOZ,9.296,0.285,32656242
Myanmar,MMR,31.639,0.589,53756791
Namibia,NAM,3.414,1.181,2889668
Nauru,NRU,0.059,4.989,11822
Nepal,NPL,17.609,0.593,29715435
Netherlands,NLD,127.503,7.121,17904421
New Caledonia,NCL,5.116,17.816,287130
New Zealand,NZL,31.966,6.229,5131731
Nicaragua,NIC,5.131,0.762,6730662
Niger,NER,3.201,0.126,25311978
Nigeria,NGA,131.441,0.589,223150906
Niue,NIU,0.007,3.974,1844
Non-OECD (GCP),,24901.666,,
North America,,6236.024,10.390,604356255
North America (GCP),,6057.500,,
North America (excl. USA),,1180.621,4.565,
North Korea,PRK,56.289,2.138,26328843
North Macedonia,MKD,7.352,3.995,1840236
Norway,NOR,40.833,7.483,5456796
OECD (GCP),,11660.435,,
OECD (Jones et al.),,,,
Oceania,,433.490,9.679,45049680
Oceania (GCP),,425.054,,
Oman,OMN,77.994,16.488,4730229
Pakistan,PAK,211.970,0.870,243700667
Palau,PLW,0.217,12.215,17784
Palestine,PSE,4.702,0.886,5305274
Panama,PAN,11.707,2.660,4400775
Papua New Guinea,PNG,8.436,0.827,10203177
Paraguay,PRY,7.533,1.114,6760460
Peru,PER,64.785,1.935,33475436
Philippines,PHL,150.963,1.325,113964343
Poland,POL,314.892,8.203,38385734
Portugal,PRT,40.722,3.909,10417074
Qatar,QAT,109.594,37.890,2892466
Romania,ROU,73.186,3.818,19166776
Russia,RUS,1675.461,11.509,145579889
Rwanda,RWA,1.957,0.143,13651025
Ryukyu Islands,,,,
Ryukyu Islands (GCP),,0.000,,
Saint Helena,SHN,0.011,2.047,5369
Saint Kitts and Nevis,KNA,0.251,5.364,46732
Saint Lucia,LCA,0.518,2.898,178794
Saint Pierre and Miquelon,SPM,0.053,9.268,5760
Saint Vincent and the Grenadines,VCT,0.247,2.417,102063
Samoa,WSM,0.236,1.096,215270
San Marino,SMR,,,34113
Sao Tome and Principe,STP,0.136,0.599,226313
Saudi Arabia,SAU,666.994,20.730,32175351
Senegal,SEN,14.133,0.801,17651099
Serbia,SRB,44.462,6.547,6791215
Seychelles,SYC,0.629,5.010,125533
Sierra Leone,SLE,1.444,0.174,8276809
Singapore,SGP,48.934,8.661,5649888
Sint Maarten (Dutch part),SXM,0.692,16.424,42163
Slovakia,SVK,31.589,5.772,5473195
Slovenia,SVN,12.728,6.017,2115231
Solomon Islands,SLB,0.283,0.362,781075
Somalia,SOM,1.271,0.071,17801895
South Africa,ZAF,428.782,6.874,62378417
South America,,1100.028,2.557,430492816
South America (GCP),,1100.028,,
South Korea,KOR,606.877,11.720,51782515
South Sudan,SSD,1.634,0.148,11021175
Spain,ESP,234.223,4.897,47828386
Sri Lanka,LKA,18.377,0.805,22834965
Sudan,SDN,17.529,0.355,49383344
Suriname,SUR,2.828,4.537,623172
Sweden,SWE,36.342,3.465,10487335
Switzerland,CHE,32.951,3.748,8792180
Syria,SYR,31.423,1.399,22462170
Taiwan,TWN,273.989,11.699,23420107
Tajikistan,TJK,10.521,1.033,10182228
Tanzania,TZA,19.702,0.304,64711822
Thailand,THA,272.573,3.800,71735321
Togo,TGO,2.739,0.339,8068616
Tonga,TON,0.147,1.395,105053
Trinidad and Tobago,TTO,37.493,25.063,1495923
Tunisia,TUN,30.785,2.540,12119338
Turkey,TUR,443.603,5.095,87058469
Turkmenistan,TKM,102.063,14.116,7230197
Turks and Caicos Islands,TCA,0.366,7.970,45869
Tuvalu,TUV,0.011,1.098,10012
Uganda,UGA,6.128,0.130,47312718
Ukraine,UKR,143.040,3.485,41048768
United Arab Emirates,ARE,207.103,20.221,10242085
United Kingdom,GBR,311.118,4.563,68179315
United States,USA,5055.403,14.802,341534041
Upper-middle-income countries,,17458.070,6.131,2847730001
Uruguay,URY,7.501,2.212,3390913
Uzbekistan,UZB,119.105,3.409,34938953
Vanuatu,VUT,0.189,0.605,313061
Vatican,VAT,,,513
Venezuela,VEN,108.424,3.843,28213015
Vietnam,VNM,322.653,3.237,99680656
Wallis and Futuna,WLF,0.029,2.549,11501
World,,37527.773,4.678,8021407196
Yemen,YEM,10.404,0.272,38222878
Zambia,ZMB,10.939,0.543,20152935
Zimbabwe,ZWE,12.232,0.761,16069061
